timestamp,pm10,pm2_5,co,no2,so2,o3,temp,humidity,wind_speed
2025-12-09 00:00:00,178.3,176.5,1175.0,31.3,32.5,39.0,,,
2025-12-09 01:00:00,173.7,172.3,1249.0,29.7,32.3,52.0,,,
2025-12-09 02:00:00,164.4,163.4,1354.0,27.2,32.1,70.0,,,
2025-12-09 03:00:00,157.4,156.0,1367.0,23.6,32.3,96.0,,,
2025-12-09 04:00:00,145.8,144.4,1194.0,17.9,33.4,134.0,,,
2025-12-09 05:00:00,126.7,124.8,929.0,11.0,34.9,179.0,,,
2025-12-09 06:00:00,101.5,99.2,731.0,6.1,35.6,213.0,,,
2025-12-09 07:00:00,99.0,96.4,659.0,3.7,34.8,230.0,,,
2025-12-09 08:00:00,97.1,94.5,655.0,3.2,33.2,235.0,,,
2025-12-09 09:00:00,96.9,94.3,701.0,5.7,32.2,230.0,,,
2025-12-09 10:00:00,96.6,94.3,822.0,12.5,32.1,210.0,,,
2025-12-09 11:00:00,106.4,104.5,995.0,22.3,32.6,178.0,,,
2025-12-09 12:00:00,128.5,126.7,1130.0,32.2,34.3,147.0,,,
2025-12-09 13:00:00,149.9,148.1,1189.0,42.6,38.8,118.0,,,
2025-12-09 14:00:00,167.6,166.2,1211.0,53.2,44.5,88.0,,,
2025-12-09 15:00:00,180.2,178.3,1225.0,60.1,47.8,66.0,,,
2025-12-09 16:00:00,186.7,184.9,1241.0,61.5,46.8,54.0,,,
2025-12-09 17:00:00,182.1,180.7,1249.0,59.2,43.3,50.0,,,
2025-12-09 18:00:00,173.2,171.8,1244.0,54.9,39.3,48.0,,,
2025-12-09 19:00:00,166.2,164.4,1212.0,48.1,34.9,49.0,,,
2025-12-09 20:00:00,157.9,156.5,1168.0,39.4,30.0,54.0,,,
2025-12-09 21:00:00,148.5,147.1,1150.0,31.9,26.2,58.0,,,
2025-12-09 22:00:00,139.7,138.3,1182.0,26.7,24.0,60.0,,,
2025-12-09 23:00:00,134.6,133.6,1241.0,22.8,22.8,61.0,,,
2025-12-10 00:00:00,133.2,131.8,1293.0,20.2,22.9,67.0,,,
2025-12-10 01:00:00,138.3,136.9,1350.0,19.9,25.0,78.0,,,
2025-12-10 02:00:00,137.8,136.9,1401.0,20.9,28.3,93.0,,,
2025-12-10 03:00:00,135.5,134.6,1382.0,20.2,30.7,115.0,,,
2025-12-10 04:00:00,127.1,126.2,1232.0,15.8,31.2,149.0,,,
2025-12-10 05:00:00,99.4,98.0,1011.0,9.7,30.7,189.0,,,
2025-12-10 06:00:00,77.3,75.7,842.0,5.3,29.8,219.0,,,
2025-12-10 07:00:00,72.2,70.5,766.0,3.3,28.0,234.0,,,
2025-12-10 08:00:00,69.6,68.0,740.0,3.0,25.7,240.0,,,
2025-12-10 09:00:00,68.5,67.1,759.0,5.4,24.6,234.0,,,
2025-12-10 10:00:00,68.7,67.3,846.0,11.9,25.2,213.0,,,
2025-12-10 11:00:00,79.6,78.5,978.0,21.1,26.9,180.0,,,
2025-12-10 12:00:00,100.6,99.4,1071.0,29.9,29.6,149.0,,,
2025-12-10 13:00:00,118.5,117.3,1082.0,37.6,34.0,123.0,,,
2025-12-10 14:00:00,135.0,134.1,1055.0,44.8,39.4,98.0,,,
2025-12-10 15:00:00,149.9,148.5,1043.0,50.3,43.1,78.0,,,
2025-12-10 16:00:00,162.1,160.7,1073.0,53.8,44.1,64.0,,,
2025-12-10 17:00:00,169.0,168.1,1118.0,55.7,43.5,53.0,,,
2025-12-10 18:00:00,170.0,168.6,1145.0,55.7,42.0,46.0,,,
2025-12-10 19:00:00,168.6,167.2,1128.0,53.3,39.4,41.0,,,
2025-12-10 20:00:00,166.2,165.3,1092.0,49.1,36.0,39.0,,,
2025-12-10 21:00:00,163.9,163.0,1083.0,44.8,33.2,38.0,,,
2025-12-10 22:00:00,159.3,157.9,1132.0,40.6,31.4,35.0,,,
2025-12-10 23:00:00,152.7,151.8,1207.0,36.3,30.2,33.0,,,
2025-12-11 00:00:00,148.1,147.1,1260.0,32.5,29.5,37.0,,,
2025-12-11 01:00:00,149.9,149.0,1286.0,30.1,29.1,50.0,,,
2025-12-11 02:00:00,144.4,143.4,1290.0,28.3,29.2,69.0,,,
2025-12-11 03:00:00,136.9,136.0,1232.0,25.1,30.1,97.0,,,
2025-12-11 04:00:00,120.6,119.2,1063.0,18.8,32.5,143.0,,,
2025-12-11 05:00:00,99.9,98.0,832.0,11.1,35.7,197.0,,,
2025-12-11 06:00:00,76.1,73.1,654.0,5.5,37.4,236.0,,,
2025-12-11 07:00:00,70.8,67.3,562.0,2.8,36.1,250.0,,,
2025-12-11 08:00:00,68.7,65.0,523.0,2.3,33.3,250.0,,,
2025-12-11 09:00:00,67.5,64.0,545.0,5.1,31.8,239.0,,,
2025-12-11 10:00:00,67.1,63.3,672.0,12.8,32.4,216.0,,,
2025-12-11 11:00:00,83.4,80.6,860.0,23.8,34.3,183.0,,,
2025-12-11 12:00:00,108.3,105.2,988.0,34.8,37.6,151.0,,,
2025-12-11 13:00:00,132.2,129.0,994.0,45.3,43.2,121.0,,,
2025-12-11 14:00:00,154.1,150.9,939.0,55.7,50.2,92.0,,,
2025-12-11 15:00:00,173.7,170.4,889.0,64.3,55.7,68.0,,,
2025-12-11 16:00:00,191.4,188.6,869.0,70.2,59.0,52.0,,,
2025-12-11 17:00:00,205.8,202.6,853.0,74.3,60.8,42.0,,,
2025-12-11 18:00:00,213.7,210.5,825.0,77.0,61.1,34.0,,,
2025-12-11 19:00:00,219.3,215.6,767.0,78.8,59.4,26.0,,,
2025-12-11 20:00:00,221.2,217.9,697.0,79.3,56.1,20.0,,,
2025-12-11 21:00:00,218.9,215.6,651.0,77.7,52.7,16.0,,,
2025-12-11 22:00:00,211.9,208.6,627.0,73.2,49.4,13.0,,,
2025-12-11 23:00:00,204.0,200.7,628.0,66.6,46.1,13.0,,,
2025-12-12 00:00:00,199.3,196.0,691.0,59.5,43.2,22.0,,,
2025-12-12 01:00:00,204.9,201.6,901.0,52.5,41.4,45.0,,,
2025-12-12 02:00:00,199.3,197.0,1175.0,45.0,40.2,77.0,,,
2025-12-12 03:00:00,171.4,169.5,1301.0,36.6,38.2,113.0,,,
2025-12-12 04:00:00,132.2,129.9,1134.0,25.6,34.6,157.0,,,
2025-12-12 05:00:00,90.8,88.5,819.0,13.7,30.4,205.0,,,
2025-12-12 06:00:00,66.4,63.8,585.0,5.2,27.1,239.0,,,
2025-12-12 07:00:00,62.4,60.1,518.0,1.7,25.2,253.0,,,
2025-12-12 08:00:00,61.5,59.1,531.0,1.7,24.2,254.0,,,
2025-12-12 09:00:00,60.5,58.3,592.0,4.8,24.3,244.0,,,
2025-12-12 10:00:00,60.8,58.8,726.0,12.3,25.6,221.0,,,
2025-12-12 11:00:00,75.0,73.3,909.0,23.0,27.8,188.0,,,
2025-12-12 12:00:00,98.5,96.9,1033.0,33.1,30.9,156.0,,,
2025-12-12 13:00:00,118.0,116.4,1037.0,41.8,35.4,129.0,,,
2025-12-12 14:00:00,133.6,131.8,982.0,49.9,40.7,104.0,,,
2025-12-12 15:00:00,145.8,144.4,946.0,55.9,44.3,84.0,,,
2025-12-12 16:00:00,156.0,154.1,968.0,58.9,45.0,72.0,,,
2025-12-12 17:00:00,162.5,160.7,1009.0,59.8,44.1,65.0,,,
2025-12-12 18:00:00,163.9,162.1,1022.0,59.3,42.5,59.0,,,
2025-12-12 19:00:00,163.9,162.5,978.0,57.3,40.2,54.0,,,
2025-12-12 20:00:00,163.4,162.1,907.0,54.0,37.4,50.0,,,
2025-12-12 21:00:00,163.4,161.6,853.0,50.6,34.9,48.0,,,
2025-12-12 22:00:00,162.5,161.1,837.0,47.8,33.3,44.0,,,
2025-12-12 23:00:00,162.1,160.2,839.0,45.0,32.2,40.0,,,
2025-12-13 00:00:00,163.0,161.1,1034.0,41.7,31.3,46.0,,,
2025-12-13 01:00:00,168.6,167.2,1217.5,38.1,31.2,66.0,,,
2025-12-13 02:00:00,162.1,160.7,1384.5,34.1,31.4,96.0,,,
2025-12-13 03:00:00,140.2,139.2,1458.0,28.8,30.3,127.0,,,
2025-12-13 04:00:00,115.7,114.6,1197.0,20.7,26.4,160.0,,,
2025-12-13 05:00:00,75.4,73.8,857.0,11.4,21.2,194.0,,,
2025-12-13 06:00:00,51.9,50.3,603.0,4.8,17.1,218.0,,,
2025-12-13 07:00:00,48.4,46.7,505.0,2.0,14.9,229.0,,,
2025-12-13 08:00:00,46.7,44.9,493.0,1.9,13.9,231.0,,,
2025-12-13 09:00:00,45.5,43.9,521.0,4.6,13.9,223.0,,,
2025-12-13 10:00:00,44.8,43.2,588.0,11.9,15.3,201.0,,,
2025-12-13 11:00:00,53.0,51.8,694.0,22.0,17.7,168.0,,,
2025-12-13 12:00:00,71.7,70.5,795.0,30.4,20.2,139.0,,,
2025-12-13 13:00:00,84.5,83.4,879.0,35.2,22.6,117.0,,,
2025-12-13 14:00:00,89.9,88.7,957.0,38.2,25.1,99.0,,,
2025-12-13 15:00:00,92.9,91.7,1017.0,40.0,26.6,84.0,,,
2025-12-13 16:00:00,97.6,96.4,1051.0,40.8,26.6,73.0,,,
2025-12-13 17:00:00,100.8,99.2,1067.0,40.4,25.6,67.0,,,
2025-12-13 18:00:00,100.6,98.7,1076.0,39.3,24.4,61.0,,,
2025-12-13 19:00:00,101.5,99.4,1078.0,37.4,23.1,56.0,,,
2025-12-13 20:00:00,101.5,99.4,1072.0,34.8,21.6,53.0,,,
2025-12-13 21:00:00,100.4,98.3,1066.0,32.6,20.4,51.0,,,
2025-12-13 22:00:00,98.7,96.4,1061.0,31.1,19.8,49.0,,,
2025-12-13 23:00:00,97.8,95.5,1056.0,29.9,19.5,49.0,,,
